handle,score
24moda,0.9415609971578327
24paolabottelli,0.9565951696572185
_jane_reeve,0.9509491471993039
aaenriquez,0.9581695863868896
albertomoni,0.935964233926537
alinatanasa,0.925738790826568
altaroma,0.9672721746366015
andreadelogu,0.9647704202721248
andreaincontri,0.9731816505511809
anthonyvacc,0.892778138981277
antoniomarras,0.9735819498226777
backdoorbottega,0.9311745637273023
bloglovin,0.8285655900600256
cameramoda,0.9585222333462188
caroissa,0.9730145283249395
chiarabiasi,0.9246263072639794
chloefashion,0.9244851556772711
dazedmagazine,0.9630548590823438
depopmarket,0.8873151382232983
drepubblicait,0.9631845283293501
e_pitti,0.9544497886103561
edaasimsekk,0.7126660481289631
elebraghieri,0.9859704143313859
eleonoracarisi,0.983998492873029
elle_es,0.9330813828113746
elodiekofficial,0.9359706718637529
fashionsvue,0.8967339929922324
footwearnews,0.9233245455490757
fpresutto,0.9676426115702423
giannicoshoes,0.981254314550335
gianvito_rossi,0.8985103887556009
gioiamagazine,0.9778633053932192
grugriel,0.6954621070978614
harpersbazaarus,0.8961623695099736
hellocoop,0.9649409274198439
highsnobiety,0.9039926009248244
hypebeast,0.9135042555137033
ilgiornaleoff,0.9351301823035036
iodonnalive,0.9762007836837926
jjmartinmilan,0.9803057063118639
lampoonmagazine,0.9613926397670727
lavoztelecinco,0.9276713488732886
lindatol001,0.9602294972299487
lofficielparis,0.9618796503901822
logoscollezioni,0.9789306913928735
luciadelpasqua,0.987212083395418
luisaviaroma,0.9145339813181967
magalinimarco,0.9732434218978897
maisonvalentino,0.9752627469772409
manrepeller,0.8771061395974039
matteofalcone,0.9099529703973201
mauro_grifoni,0.938189123873829
mffashion_com,0.9727051392064572
miraduma,0.9895079285501446
motogp,0.9345864222008765
n30milano,0.821315450772554
natasha_slater,0.9420140696274116
nickcerioni,0.9593028789180539
nowfashion,0.9104158331336911
openingceremony,0.9527518650723192
paolodevivo,0.9774233937095581
paolostella,0.9749613071299515
peaceloveshea,0.918523741830784
repostapp,0.9842198594923807
sauceloves,0.9274436888977181
seoulcialite,0.9307754742674381
serenaruggeri,0.9518270888372319
shareaholic,0.8239429257333659
shaynehba,0.9351139502279354
shirelmaliach,0.9724365061511011
shoescribe,0.934451907829649
simoguidarelli,0.9742205193514556
smability,0.9760492797649055
songofstyle,0.9324566039341957
steven683,0.9682406820946197
studiodmoda,0.9437471557628274
studiorepr,0.9491038131910975
style_italia,0.965693076219438
styledotcom,0.9399474925560439
susiebubble,0.9808814032418818
thealexbadia,0.9308253648619524
thecornerdotcom,0.9409635370280465
thecoveteur,0.9187695415582265
thecut,0.9191656016073765
themenissue,0.9780448738198925
tomatomagazine,0.9263049209965535
tomorrowltd,0.9173527596792327
tranoifashion,0.9711890262841292
valesiragusa,0.9810660607620608
voguejp,0.9793682555522117
wbistyle,0.9718602046038388
whitemilano,0.963227876518265
www,0.9456792238510088
yeditepekariyer,0.8216548207988894
