_id,experiment_id,handle,score
58d4ffd668f6204c47a9628e,58d4de1468f6204c47a0cd04,1p38064852en23,0.951463469777675
58d4ffd668f6204c47a9628f,58d4de1468f6204c47a0cd04,2010LeeHurst,
58d4ffd668f6204c47a96290,58d4de1468f6204c47a0cd04,24hrTVMazi,
58d4ffd668f6204c47a96291,58d4de1468f6204c47a0cd04,2Late4School,0.9769917925099225
58d4ffd668f6204c47a96292,58d4de1468f6204c47a0cd04,30percentclubTR,
58d4ffd668f6204c47a96293,58d4de1468f6204c47a0cd04,3747S_14458E,
58d4ffd668f6204c47a96294,58d4de1468f6204c47a0cd04,60Minutes,0.9113287433621068
58d4ffd668f6204c47a96295,58d4de1468f6204c47a0cd04,ACTBrigitte,
58d4ffd668f6204c47a96296,58d4de1468f6204c47a0cd04,AC_GBE,0.449451485461813
58d4ffd668f6204c47a96297,58d4de1468f6204c47a0cd04,ADbriggs66,0.3476220933542774
58d4ffd668f6204c47a96298,58d4de1468f6204c47a0cd04,AGelpern,0.9759079848921888
58d4ffd668f6204c47a96299,58d4de1468f6204c47a0cd04,AItalianer,
58d4ffd668f6204c47a9629a,58d4de1468f6204c47a0cd04,AJEnglish,
58d4ffd668f6204c47a9629b,58d4de1468f6204c47a0cd04,AJUpFront,
58d4ffd668f6204c47a9629c,58d4de1468f6204c47a0cd04,AK_Itkonen,
58d4ffd668f6204c47a9629d,58d4de1468f6204c47a0cd04,ALeipold,0.46522160053251294
58d4ffd668f6204c47a9629e,58d4de1468f6204c47a0cd04,AP,
58d4ffd668f6204c47a9629f,58d4de1468f6204c47a0cd04,AP_Politics,
58d4ffd668f6204c47a962a0,58d4de1468f6204c47a0cd04,ATPWorldTour,
58d4ffd668f6204c47a962a1,58d4de1468f6204c47a0cd04,ATeachMoment,0.9209925281355366
58d4ffd668f6204c47a962a2,58d4de1468f6204c47a0cd04,AXA,
58d4ffd668f6204c47a962a3,58d4de1468f6204c47a0cd04,AXAUK,
58d4ffd668f6204c47a962a4,58d4de1468f6204c47a0cd04,A_Sutherland80,
58d4ffd668f6204c47a962a5,58d4de1468f6204c47a0cd04,AaronBlake,0.9496805836919625
58d4ffd668f6204c47a962a6,58d4de1468f6204c47a0cd04,AaronLucchetti,
58d4ffd668f6204c47a962a7,58d4de1468f6204c47a0cd04,Accendo_Mike,
58d4ffd668f6204c47a962a8,58d4de1468f6204c47a0cd04,AccentureRugby,
58d4ffd668f6204c47a962a9,58d4de1468f6204c47a0cd04,ActualEPAFacts,
58d4ffd668f6204c47a962aa,58d4de1468f6204c47a0cd04,ActuaryByDay,
58d4ffd668f6204c47a962ab,58d4de1468f6204c47a0cd04,AdamMinter,0.9898582093028457
58d4ffd668f6204c47a962ac,58d4de1468f6204c47a0cd04,AdamSerwer,
58d4ffd668f6204c47a962ad,58d4de1468f6204c47a0cd04,AdamWagner1,0.9436570828727294
58d4ffd668f6204c47a962ae,58d4de1468f6204c47a0cd04,AgnesCPoirier,
58d4ffd668f6204c47a962af,58d4de1468f6204c47a0cd04,Airbnb,0.9502714589747449
58d4ffd668f6204c47a962b0,58d4de1468f6204c47a0cd04,Al_Humphreys,
58d4ffd668f6204c47a962b1,58d4de1468f6204c47a0cd04,Alam_Chaudry,0.9416304415267138
58d4ffd668f6204c47a962b2,58d4de1468f6204c47a0cd04,AlbertoNardelli,
58d4ffd668f6204c47a962b3,58d4de1468f6204c47a0cd04,AlecBaldwin,0.9355867996892877
58d4ffd668f6204c47a962b4,58d4de1468f6204c47a0cd04,AlecMacGillis,
58d4ffd668f6204c47a962b5,58d4de1468f6204c47a0cd04,AlephBlog,
58d4ffd668f6204c47a962b6,58d4de1468f6204c47a0cd04,AlexNBCNews,
58d4ffd668f6204c47a962b7,58d4de1468f6204c47a0cd04,Alex_Panetta,
58d4ffd668f6204c47a962b8,58d4de1468f6204c47a0cd04,AlfonsoFuggetta,
58d4ffd668f6204c47a962b9,58d4de1468f6204c47a0cd04,AlgerinoPerCaso,
58d4ffd668f6204c47a962ba,58d4de1468f6204c47a0cd04,Alpinismi,
58d4ffd668f6204c47a962bb,58d4de1468f6204c47a0cd04,AlyssaMastro44,
58d4ffd668f6204c47a962bc,58d4de1468f6204c47a0cd04,AmazonUK,
58d4ffd668f6204c47a962bd,58d4de1468f6204c47a0cd04,AmbJohnBolton,
58d4ffd668f6204c47a962be,58d4de1468f6204c47a0cd04,AmberRudd_MP,
58d4ffd668f6204c47a962bf,58d4de1468f6204c47a0cd04,AndySwan,
58d4ffd668f6204c47a962c0,58d4de1468f6204c47a0cd04,AngelUbide,
58d4ffd668f6204c47a962c1,58d4de1468f6204c47a0cd04,AngieMeader,
58d4ffd668f6204c47a962c2,58d4de1468f6204c47a0cd04,AntonColella,
58d4ffd668f6204c47a962c3,58d4de1468f6204c47a0cd04,AoDespair,0.9167896408327713
58d4ffd668f6204c47a962c4,58d4de1468f6204c47a0cd04,AppFlyer,
58d4ffd668f6204c47a962c5,58d4de1468f6204c47a0cd04,Apprenticeships,
58d4ffd668f6204c47a962c6,58d4de1468f6204c47a0cd04,Arron_banks,
58d4ffd668f6204c47a962c7,58d4de1468f6204c47a0cd04,AsYouSow,
58d4ffd668f6204c47a962c8,58d4de1468f6204c47a0cd04,Ashleyfoxmep,
58d4ffd668f6204c47a962c9,58d4de1468f6204c47a0cd04,AtlanticCouncil,
58d4ffd668f6204c47a962ca,58d4de1468f6204c47a0cd04,Augentius,0.6544661497893511
58d4ffd668f6204c47a962cb,58d4de1468f6204c47a0cd04,AuthCityLondon,
58d4ffd668f6204c47a962cc,58d4de1468f6204c47a0cd04,Authw8,
58d4ffd668f6204c47a962cd,58d4de1468f6204c47a0cd04,Avik,0.94838565040408
58d4ffd668f6204c47a962ce,58d4de1468f6204c47a0cd04,AxiosVisuals,
58d4ffd668f6204c47a962cf,58d4de1468f6204c47a0cd04,BADeByrd,
58d4ffd668f6204c47a962d0,58d4de1468f6204c47a0cd04,BBCBreakfast,
