_id,experiment_id,handle,score
58d3b57068f6200c255c840c,58d3a95468f6200c2556e84a,1057darwin,0.6608307476169132
58d3b57068f6200c255c840d,58d3a95468f6200c2556e84a,1H4ND,
58d3b57068f6200c255c840e,58d3a95468f6200c2556e84a,23rikie,0.9716927147877855
58d3b57068f6200c255c840f,58d3a95468f6200c2556e84a,3AW693,
58d3b57068f6200c255c8410,58d3a95468f6200c2556e84a,56deanstreet,
58d3b57068f6200c255c8411,58d3a95468f6200c2556e84a,5hourenergy,
58d3b57068f6200c255c8412,58d3a95468f6200c2556e84a,70s_party,
58d3b57068f6200c255c8413,58d3a95468f6200c2556e84a,ABCNewsBrisbane,
58d3b57068f6200c255c8414,58d3a95468f6200c2556e84a,ALIAnls,
58d3b57068f6200c255c8415,58d3a95468f6200c2556e84a,AMEquality,
58d3b57068f6200c255c8416,58d3a95468f6200c2556e84a,ANNZac,
58d3b57068f6200c255c8417,58d3a95468f6200c2556e84a,AdrienneLaF,
58d3b57068f6200c255c8418,58d3a95468f6200c2556e84a,AidenO,
58d3b57068f6200c255c8419,58d3a95468f6200c2556e84a,Ali_Read,
58d3b57068f6200c255c841a,58d3a95468f6200c2556e84a,Amelia_Freeland,
58d3b57068f6200c255c841b,58d3a95468f6200c2556e84a,AmieKaufman,
58d3b57068f6200c255c841c,58d3a95468f6200c2556e84a,AmyCorderoy,0.6137670106556117
58d3b57068f6200c255c841d,58d3a95468f6200c2556e84a,AndreasPekarek,0.6892803445140756
58d3b57068f6200c255c841e,58d3a95468f6200c2556e84a,AndyRickie,
58d3b57068f6200c255c841f,58d3a95468f6200c2556e84a,AngelaSlatter,
58d3b57068f6200c255c8420,58d3a95468f6200c2556e84a,AngharadLodwick,
58d3b57068f6200c255c8421,58d3a95468f6200c2556e84a,Anna_Foley_,0.921223398773369
58d3b57068f6200c255c8422,58d3a95468f6200c2556e84a,AnneJJOlson,
58d3b57068f6200c255c8423,58d3a95468f6200c2556e84a,AraratArts,
58d3b57068f6200c255c8424,58d3a95468f6200c2556e84a,ArcherMagazine,
58d3b57068f6200c255c8425,58d3a95468f6200c2556e84a,Ariannebooklove,0.9602086361182868
58d3b57068f6200c255c8426,58d3a95468f6200c2556e84a,ArtsAccessVic,
58d3b57068f6200c255c8427,58d3a95468f6200c2556e84a,ArtsAccessVlc,0.6362836972983641
58d3b57068f6200c255c8428,58d3a95468f6200c2556e84a,Asher_Wolf,
58d3b57068f6200c255c8429,58d3a95468f6200c2556e84a,Asia_TOPA,
58d3b57068f6200c255c842a,58d3a95468f6200c2556e84a,AttitudeMag,
58d3b57068f6200c255c842b,58d3a95468f6200c2556e84a,Auckland_Libs,0.9637496370540976
58d3b57068f6200c255c842c,58d3a95468f6200c2556e84a,Audible_AU,
58d3b57068f6200c255c842d,58d3a95468f6200c2556e84a,AurealisMag,
58d3b57068f6200c255c842e,58d3a95468f6200c2556e84a,AusConservation,
58d3b57068f6200c255c842f,58d3a95468f6200c2556e84a,AusPoetry,
58d3b57068f6200c255c8430,58d3a95468f6200c2556e84a,AusPressCouncil,0.8949484600846592
58d3b57068f6200c255c8431,58d3a95468f6200c2556e84a,AustBookReview,0.867206092807635
58d3b57068f6200c255c8432,58d3a95468f6200c2556e84a,AustFiction,0.7450888256328712
58d3b57068f6200c255c8433,58d3a95468f6200c2556e84a,AvalonAirshow,
58d3b57068f6200c255c8434,58d3a95468f6200c2556e84a,AvivaTuffield,0.9560245941464837
58d3b57068f6200c255c8435,58d3a95468f6200c2556e84a,BKArturo,0.9028895989021052
58d3b57068f6200c255c8436,58d3a95468f6200c2556e84a,BanffCentreLit,
58d3b57068f6200c255c8437,58d3a95468f6200c2556e84a,BarkPost,
58d3b57068f6200c255c8438,58d3a95468f6200c2556e84a,BarossaDirt,0.5039350730150901
58d3b57068f6200c255c8439,58d3a95468f6200c2556e84a,BeeDownes,0.8717878220503805
58d3b57068f6200c255c843a,58d3a95468f6200c2556e84a,BenjaminLaut,0.988365607029466
58d3b57068f6200c255c843b,58d3a95468f6200c2556e84a,Bernlennials,
58d3b57068f6200c255c843c,58d3a95468f6200c2556e84a,BirdLifeTas,
58d3b57068f6200c255c843d,58d3a95468f6200c2556e84a,BirdLife_News,
58d3b57068f6200c255c843e,58d3a95468f6200c2556e84a,BirdlifeOz,
58d3b57068f6200c255c843f,58d3a95468f6200c2556e84a,Birds_Central,
58d3b57068f6200c255c8440,58d3a95468f6200c2556e84a,Birdsllc,
58d3b57068f6200c255c8441,58d3a95468f6200c2556e84a,BlackIncBooks,0.9340383008268277
58d3b57068f6200c255c8442,58d3a95468f6200c2556e84a,BlarneyBooks,0.8446530669018105
58d3b57068f6200c255c8443,58d3a95468f6200c2556e84a,BobBrownFndn,
58d3b57068f6200c255c8444,58d3a95468f6200c2556e84a,BobEvansMusic,
58d3b57068f6200c255c8445,58d3a95468f6200c2556e84a,BradJJefferies,0.9404059236066379
58d3b57068f6200c255c8446,58d3a95468f6200c2556e84a,BretEastonEllis,
58d3b57068f6200c255c8447,58d3a95468f6200c2556e84a,BrianWilsonLive,0.9255728072181001
58d3b57068f6200c255c8448,58d3a95468f6200c2556e84a,BridgetYvonne,0.7959724469298026
58d3b57068f6200c255c8449,58d3a95468f6200c2556e84a,BrigidWD,
58d3b57068f6200c255c844a,58d3a95468f6200c2556e84a,BriohnyDoyle,0.984884580506874
58d3b57068f6200c255c844b,58d3a95468f6200c2556e84a,Broadsheet_Syd,0.7472994635251966
58d3b57068f6200c255c844c,58d3a95468f6200c2556e84a,BronteCoates,0.9876859127192837
58d3b57068f6200c255c844d,58d3a95468f6200c2556e84a,Bryony_Crez,
58d3b57068f6200c255c844e,58d3a95468f6200c2556e84a,BustyBeatz,
58d3b57068f6200c255c844f,58d3a95468f6200c2556e84a,BuzzFeedOzPol,
58d3b57068f6200c255c8450,58d3a95468f6200c2556e84a,CCLitFest,
58d3b57068f6200c255c8451,58d3a95468f6200c2556e84a,CaitlinFoord,0.8596181952349212
58d3b57068f6200c255c8452,58d3a95468f6200c2556e84a,CalmTomb,
58d3b57068f6200c255c8453,58d3a95468f6200c2556e84a,Calmania,
58d3b57068f6200c255c8454,58d3a95468f6200c2556e84a,CandyRoyalle,
58d3b57068f6200c255c8455,58d3a95468f6200c2556e84a,CarodyC,0.9822788130445567
58d3b57068f6200c255c8456,58d3a95468f6200c2556e84a,CatapultStory,
58d3b57068f6200c255c8457,58d3a95468f6200c2556e84a,CathLAndrews,0.9619656945812918
58d3b57068f6200c255c8458,58d3a95468f6200c2556e84a,CatherineDeveny,
58d3b57068f6200c255c8459,58d3a95468f6200c2556e84a,ChadParkhill,0.9781696763106267
58d3b57068f6200c255c845a,58d3a95468f6200c2556e84a,CherylAkle,
58d3b57068f6200c255c845b,58d3a95468f6200c2556e84a,ChrisBathTV,0.9851752024225868
58d3b57068f6200c255c845c,58d3a95468f6200c2556e84a,Chuffed,
58d3b57068f6200c255c845d,58d3a95468f6200c2556e84a,ChurdChamp,0.5088462314746477
58d3b57068f6200c255c845e,58d3a95468f6200c2556e84a,ClaireCRitchie,
58d3b57068f6200c255c845f,58d3a95468f6200c2556e84a,ColleenLavelle1,
58d3b57068f6200c255c8460,58d3a95468f6200c2556e84a,CommunityRun,
58d3b57068f6200c255c8461,58d3a95468f6200c2556e84a,ConorTripler,0.9841890853619303
58d3b57068f6200c255c8462,58d3a95468f6200c2556e84a,CookSuck,0.9687818755906745
58d3b57068f6200c255c8463,58d3a95468f6200c2556e84a,CoreyWakeling,
58d3b57068f6200c255c8464,58d3a95468f6200c2556e84a,CraigDButt,0.9194184504608844
58d3b57068f6200c255c8465,58d3a95468f6200c2556e84a,D0CT0R_Dave,
58d3b57068f6200c255c8466,58d3a95468f6200c2556e84a,DAREDEVllLS,
58d3b57068f6200c255c8467,58d3a95468f6200c2556e84a,DanfossCareers,0.701339458684656
58d3b57068f6200c255c8468,58d3a95468f6200c2556e84a,DavidBerthold,0.9291725937755602
58d3b57068f6200c255c8469,58d3a95468f6200c2556e84a,DavidMHenley,0.959628755632254
58d3b57068f6200c255c846a,58d3a95468f6200c2556e84a,DeSouzaRN,0.9761559816685794
58d3b57068f6200c255c846b,58d3a95468f6200c2556e84a,DeanBeckOnAir,0.948898319010681
58d3b57068f6200c255c846c,58d3a95468f6200c2556e84a,Deryn3,0.9726231967200158
58d3b57068f6200c255c846d,58d3a95468f6200c2556e84a,DeviantWomen,
58d3b57068f6200c255c846e,58d3a95468f6200c2556e84a,DianaMJenkins,
58d3b57068f6200c255c846f,58d3a95468f6200c2556e84a,Dolph_Lundgren,0.9713527566190263
58d3b57068f6200c255c8470,58d3a95468f6200c2556e84a,DortheNors,0.9098931813770271
58d3b57068f6200c255c8471,58d3a95468f6200c2556e84a,DoubleJPlays,
58d3b57068f6200c255c8472,58d3a95468f6200c2556e84a,DrRebeccaJ,0.9017335382103956
58d3b57068f6200c255c8473,58d3a95468f6200c2556e84a,DressmakerMovie,0.8808782633388027
58d3b57068f6200c255c8474,58d3a95468f6200c2556e84a,EMLipski1,0.9857308807745521
58d3b57068f6200c255c8475,58d3a95468f6200c2556e84a,EWF_Gazette,0.8696449570915742
58d3b57068f6200c255c8476,58d3a95468f6200c2556e84a,EamonnFleming,
58d3b57068f6200c255c8477,58d3a95468f6200c2556e84a,Eddieperfect,0.9886684119343607
58d3b57068f6200c255c8478,58d3a95468f6200c2556e84a,EliGlasman,0.9482055201776831
58d3b57068f6200c255c8479,58d3a95468f6200c2556e84a,ElizabethFlux,0.97760938712395
58d3b57068f6200c255c847a,58d3a95468f6200c2556e84a,EllenvanNeerven,0.9041876874199769
58d3b57068f6200c255c847b,58d3a95468f6200c2556e84a,EmHarmsy,
58d3b57068f6200c255c847c,58d3a95468f6200c2556e84a,EmilieCollyer,0.9764999459469882
58d3b57068f6200c255c847d,58d3a95468f6200c2556e84a,Emily_Clementsy,
58d3b57068f6200c255c847e,58d3a95468f6200c2556e84a,EmiratesSupport,
58d3b57068f6200c255c847f,58d3a95468f6200c2556e84a,EmmaNelsonMedia,0.7909568705562409
58d3b57068f6200c255c8480,58d3a95468f6200c2556e84a,EricCeleste,0.8492326352578144
58d3b57068f6200c255c8481,58d3a95468f6200c2556e84a,ErikOJensen,0.9816834251963105
58d3b57068f6200c255c8482,58d3a95468f6200c2556e84a,EtsyAU,
58d3b57068f6200c255c8483,58d3a95468f6200c2556e84a,FNfromFairyland,
58d3b57068f6200c255c8484,58d3a95468f6200c2556e84a,FitzroyLegal,
58d3b57068f6200c255c8485,58d3a95468f6200c2556e84a,FleurKilpatrick,0.9788548709855343
58d3b57068f6200c255c8486,58d3a95468f6200c2556e84a,FlickCM,
58d3b57068f6200c255c8487,58d3a95468f6200c2556e84a,FlindersLane,
58d3b57068f6200c255c8488,58d3a95468f6200c2556e84a,FoEAustralia,0.7989593532371337
58d3b57068f6200c255c8489,58d3a95468f6200c2556e84a,FootballJMF,0.8882684209707562
58d3b57068f6200c255c848a,58d3a95468f6200c2556e84a,FrBower,
58d3b57068f6200c255c848b,58d3a95468f6200c2556e84a,FreoPope,
58d3b57068f6200c255c848c,58d3a95468f6200c2556e84a,FullFrontalSamB,
58d3b57068f6200c255c848d,58d3a95468f6200c2556e84a,GarretPodcast,
58d3b57068f6200c255c848e,58d3a95468f6200c2556e84a,GerryGeorgatos,
58d3b57068f6200c255c848f,58d3a95468f6200c2556e84a,GetUp,
58d3b57068f6200c255c8490,58d3a95468f6200c2556e84a,GillianTriggs,
58d3b57068f6200c255c8491,58d3a95468f6200c2556e84a,Gleebooks,
58d3b57068f6200c255c8492,58d3a95468f6200c2556e84a,Graemeinnes,
58d3b57068f6200c255c8493,58d3a95468f6200c2556e84a,GreenJ,
58d3b57068f6200c255c8494,58d3a95468f6200c2556e84a,GuardianAus,
58d3b57068f6200c255c8495,58d3a95468f6200c2556e84a,HGEgmont,0.9781626070309611
58d3b57068f6200c255c8496,58d3a95468f6200c2556e84a,HRTSMRT,0.9776925600254037
58d3b57068f6200c255c8497,58d3a95468f6200c2556e84a,H_P_U_V,0.8994147544305021
58d3b57068f6200c255c8498,58d3a95468f6200c2556e84a,HarperPerennial,
58d3b57068f6200c255c8499,58d3a95468f6200c2556e84a,Harrowmir,0.9736933049613312
58d3b57068f6200c255c849a,58d3a95468f6200c2556e84a,Heauxno1currr,
58d3b57068f6200c255c849b,58d3a95468f6200c2556e84a,HelenJMacdonald,
58d3b57068f6200c255c849c,58d3a95468f6200c2556e84a,HenrySavery,
58d3b57068f6200c255c849d,58d3a95468f6200c2556e84a,HillaryClinton,
58d3b57068f6200c255c849e,58d3a95468f6200c2556e84a,HoneyBrownAus,0.8902153771136577
58d3b57068f6200c255c849f,58d3a95468f6200c2556e84a,HuffPostAU,0.9504422860941412
58d3b57068f6200c255c84a0,58d3a95468f6200c2556e84a,HumanHeadline,
58d3b57068f6200c255c84a1,58d3a95468f6200c2556e84a,IHLaking,
58d3b57068f6200c255c84a2,58d3a95468f6200c2556e84a,IanSyson,0.8664552995516236
58d3b57068f6200c255c84a3,58d3a95468f6200c2556e84a,IlaxBJoseph,
58d3b57068f6200c255c84a4,58d3a95468f6200c2556e84a,ImSpencer77,
58d3b57068f6200c255c84a5,58d3a95468f6200c2556e84a,InFerno_2469,
58d3b57068f6200c255c84a6,58d3a95468f6200c2556e84a,InSicknessPod,
58d3b57068f6200c255c84a7,58d3a95468f6200c2556e84a,Inked1BNA,0.9230087442913529
